code,system
Eu25y,readv2
Eu21.,readv2
Eu25.,readv2
E2122,readv2
Eu251,readv2
Eu250,readv2
Eu252,readv2
F25,readv2
F25.8,readv2
F21,readv2
F25.2,readv2
F21.X,readv2
F25.0,readv2
F25.1,readv2
E1073,readv2
E1074,readv2
E107.,readv2
E1011,readv2
E105.,readv2
E1034,readv2
E1003,readv2
E10yz,readv2
E103.,readv2
E101z,readv2
E107z,readv2
E105z,readv2
E10y1,readv2
E1032,readv2
E10z.,readv2
E1052,readv2
E101.,readv2
Eu201,readv2
E1072,readv2
E1075,readv2
E1033,readv2
E1002,readv2
E1005,readv2
E1004,readv2
Eu203,readv2
ZV110,readv2
Eu20.,readv2
E1015,readv2
E1031,readv2
E103z,readv2
E1013,readv2
Eu206,readv2
E1051,readv2
E1055,readv2
Eu200,readv2
1464.,readv2
E1022,readv2
E1023,readv2
E102z,readv2
Eu2..,readv2
E1021,readv2
E1035,readv2
E1001,readv2
Eu20y,readv2
Eu202,readv2
E1053,readv2
E1014,readv2
E100z,readv2
E100.,readv2
Eu205,readv2
E1025,readv2
E10y.,readv2
E1024,readv2
E106.,readv2
E1071,readv2
E1054,readv2
E102.,readv2
E1012,readv2
E10y0,readv2
F20.2,readv2
F20.8,readv2
F20,readv2
F20.5,readv2
F20.0,readv2
F20.3,readv2
F20.1,readv2
F20.6,readv2
Eu230,readv2
Eu231,readv2
Eu232,readv2
F23.0,readv2
F23.1,readv2
F23.2,readv2
Eu22y,readv2
Eu221,readv2
Eu2z.,readv2
Eu24.,readv2
Eu22.,readv2
Eu2y.,readv2
Eu220,readv2
Eu222,readv2
Eu223,readv2
F22.8,readv2
F22,readv2
Eu31.,readv2
Eu23.,readv2
Eu323,readv2
E1010,readv2
E1000,readv2
E1020,readv2
Eu20z,readv2
Eu25z,readv2
E1050,readv2
E1030,readv2
Eu22z,readv2
E1070,readv2
F25.9,readv2
F20.9,readv2
F22.9,readv2
E1150,readv2
Eu31z,readv2
E11y0,readv2
E1145,readv2
E1174,readv2
E1105,readv2
E1172,readv2
E117z,readv2
E1176,readv2
E1110,readv2
E1175,readv2
E1115,readv2
E1170,readv2
E117.,readv2
E1171,readv2
E1160,readv2
E1155,readv2
E1173,readv2
Eu30z,readv2
E11y.,readv2
E1165,readv2
E1100,readv2
E1140,readv2
E11yz,readv2
F31.9,readv2
E11z0,readv2
Eu23z,readv2
E1y..,readv2
E11z.,readv2
F38.8,readv2
F29.X,readv2
F30.9,readv2
F39,readv2
F39.X,readv2
F29,readv2
F23.9,readv2
E12yz,readv2
E12y.,readv2
E13y.,readv2
E13yz,readv2
F23.8,readv2
E104.,readv2
E10..,readv2
Eu204,readv2
F20.4,readv2
E120.,readv2
E123.,readv2
E12y0,readv2
Eu26.,readv2
E1114,readv2
Eu311,readv2
E1144,readv2
E1154,readv2
E11y3,readv2
E1104,readv2
E1164,readv2
Eu314,readv2
Eu315,readv2
Eu312,readv2
E1134,readv2
Eu233,readv2
Eu32A,readv2
E13y0,readv2
Eu329,readv2
E1124,readv2
Eu23y,readv2
E134.,readv2
Eu333,readv2
E121.,readv2
E12z.,readv2
146H.,readv2
E122.,readv2
E12..,readv2
F24,readv2
F22.0,readv2
F24.X,readv2
F23.3,readv2
E111.,readv2
E1111,readv2
E11y1,readv2
E114.,readv2
E1113,readv2
E1101,readv2
E1112,readv2
E1146,readv2
E1142,readv2
Eu30.,readv2
E1116,readv2
E111z,readv2
E1102,readv2
E114z,readv2
Eu30y,readv2
Eu300,readv2
E110.,readv2
Eu310,readv2
E1103,readv2
146D.,readv2
E1141,readv2
E1143,readv2
E1106,readv2
E110z,readv2
Eu301,readv2
F31.0,readv2
F31.2,readv2
F31.1,readv2
F30.0,readv2
F30,readv2
F30.8,readv2
E1151,readv2
E115.,readv2
E1152,readv2
E1156,readv2
E1153,readv2
Eu328,readv2
Eu31y,readv2
Eu319,readv2
Eu317,readv2
Eu316,readv2
Eu318,readv2
E115z,readv2
E1161,readv2
E116z,readv2
E1163,readv2
E1162,readv2
E116.,readv2
E1166,readv2
F31.8,readv2
F31.3,readv2
F31.5,readv2
F31.4,readv2
F31.6,readv2
F31,readv2
F31.7,readv2
E11zz,readv2
E11..,readv2
F38.1,readv2
F38.0,readv2
F38,readv2
Eu313,readv2
E11y2,readv2
Eu302,readv2
F30.2,readv2
F30.1,readv2
E13y1,readv2
E132.,readv2
9H8..,readv2
8HHs.,readv2
E1z..,readv2
E13z.,readv2
E13..,readv2
F28.X,readv2
F28,readv2
E131.,readv2
E133.,readv2
F23,readv2
E130.,readv2
F32.3,readv2
F33.3,readv2